student_id,user_input,confidence_score,sentiment_score,struggle_keywords,topic,topic_difficulty,time_spent_minutes,is_struggling,days_left,study_hours,last_exam_result
X001,Still confident but not passing,0.8,-0.1,0,algebra,7,90,1,15,4.5,failed
X001,I studied hard again,0.9,-0.2,0,algebra,7,120,1,15,4.6,failed
X001,Tried more this time,1,-0.1,0,algebra,7,110,1,15,4.7,failed
X001,Still confident but not passing,0.8,-0.1,0,algebra,7,90,1,15,4.8,failed
X001,I studied hard again,0.9,-0.2,0,algebra,7,120,1,15,4.9,failed
X001,Tried more this time,1,-0.1,0,algebra,7,110,1,15,5,failed
X001,Still confident but not passing,0.8,-0.1,0,algebra,7,90,1,15,5.1,failed
X001,I studied hard again,0.9,-0.2,0,algebra,7,120,1,15,5.2,failed
X002,Still confident but not passing,0.8,-0.1,0,algebra,7,90,1,15,4.5,failed
X002,I studied hard again,0.9,-0.2,0,algebra,7,120,1,15,4.6,failed
X002,Tried more this time,1,-0.1,0,algebra,7,110,1,15,4.7,failed
X002,Still confident but not passing,0.8,-0.1,0,algebra,7,90,1,15,4.8,failed
X002,I studied hard again,0.9,-0.2,0,algebra,7,120,1,15,4.9,failed
X002,Tried more this time,1,-0.1,0,algebra,7,110,1,15,5,failed
X002,Still confident but not passing,0.8,-0.1,0,algebra,7,90,1,15,5.1,failed
X002,I studied hard again,0.9,-0.2,0,algebra,7,120,1,15,5.2,failed
X003,Still confident but not passing,0.8,-0.1,0,algebra,7,90,1,15,4.5,failed
X003,I studied hard again,0.9,-0.2,0,algebra,7,120,1,15,4.6,failed
X003,Tried more this time,1,-0.1,0,algebra,7,110,1,15,4.7,failed
X003,Still confident but not passing,0.8,-0.1,0,algebra,7,90,1,15,4.8,failed
X003,I studied hard again,0.9,-0.2,0,algebra,7,120,1,15,4.9,failed
X003,Tried more this time,1,-0.1,0,algebra,7,110,1,15,5,failed
X003,Still confident but not passing,0.8,-0.1,0,algebra,7,90,1,15,5.1,failed
X003,I studied hard again,0.9,-0.2,0,algebra,7,120,1,15,5.2,failed
